S.No,Quarter,PO Number,PO Status,Month of Purchase,HSN No.,Invoice Date,Invoice Number,Vendor,Material Movement Type,Purpose,Type of Scrap,Purchase Category,Location,Region,QTY in (Kg),Actual Quantity received,Rate,Value (Rs.),Total Value with GST (Rs.),TCS,Qty Out (Kg),Purpose,Material Location,Material Received Date,Goods Status,Sale,Vendor Catogery,Battery Type,Source of Procurement,EPR Status,Transporter Name,Invoice number,Vehicle Number,Logsitics Ex GST,Logistics Per KG,Transit Days,Transit Insurance ID,Amount,Remarks,Invoice Status With transportation Bill
75,Q1,MMPO262700147,Close,May,,29/5/2026,1400800132,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NG Coated cu-foil double side 102Ah,NOT FOR EPR,Bengaluru,South,"5,270.00","5,270.00",₹ 220.90,"1,164,143.00","1,373,688.74","1,401,162.51",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700147,Close,May,,29/5/2026,1400800134,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NG Coated cu-foil double side 102Ah,NOT FOR EPR,Bengaluru,South,"5,170.00","5,170.00",₹ 220.90,"1,142,053.00","1,347,622.54","1,374,574.99",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700147,Close,May,,29/5/2026,1400800137,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NG coated cu foil single side 102Ah,NOT FOR EPR,Bengaluru,South,"3,300.00","3,300.00",₹ 349.20,"1,152,360.00","1,359,784.80","1,386,980.50",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
76,Q1,MMPO262700178,Close,May,,29/5/2026,26-27/19,ei-Energy India,Fresh Purchase,Second Life,NMC,FOR EPR,karnataka,South,100.6,100.6,₹ 170.00,"17,102.00","20,180.36","20,583.97",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
77,Q1,MMPO262700147,Close,May,,30/5/2026,1400800138,Exide Energy Solutions Limited,Fresh Purchase,Recycling,Anode Electrode LFP 102Ah,NOT FOR EPR,Bengaluru,South,"1,140.00","1,140.00",₹ 220.89,"251,814.60","297,141.23","303,084.05",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
78,Q1,MMPO262700183,Close,June,,1/6/2026,4/2026-27,EVERGREEN STAR RECYCLING Pvt Ltd,Fresh Purchase,Recycling,LiPo,NOT FOR EPR,West Bengal,North,"2,420.00","2,420.00",₹ 980.00,"2,371,600.00","2,798,488.00","2,854,457.76",,,,,,,Organized,Industrial Battery,Recycler,,,,,,,,,,,
,Q1,MMPO262700183,Close,June,,1/6/2026,4/2026-27,EVERGREEN STAR RECYCLING Pvt Ltd,Fresh Purchase,Recycling,LCO,NOT FOR EPR,West Bengal,North,"6,680.00","6,680.00",₹ 775.00,"5,177,000.00","6,108,860.00","6,231,037.20",,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
79,Q1,MMPO262700182,Close,June,,1/6/2026,INV-61-2026-27,SS Enterprises,Fresh Purchase,Recycling,LTO,NOT FOR EPR,Chennai,South,600,600,₹ 110.00,"66,000.00","77,880.00","79,437.60",,,,,,,Organized,Automative Battery,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700182,Close,June,,1/6/2026,INV-61-2026-27,SS Enterprises,Fresh Purchase,Recycling,LFP Prismatic cells,NOT FOR EPR,Chennai,South,293,293,₹ 60.00,"17,580.00","20,744.40","21,159.29",,,,,,,Organized,Automative Battery,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
80,Q1,MMPO262700186,Close,June,,2/6/2026,ELX/26-27/036,Elxion Private Limited,Fresh Purchase,Recycling,LCO,NOT FOR EPR,Banglore,South,,,₹ 300.00,0,0,-,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
,Q1,MMPO262700186,Close,June,,2/6/2026,ELX/26-27/036,Elxion Private Limited,Fresh Purchase,Second Life,NMC Battery Packs,NOT FOR EPR,Banglore,South,,,₹ 135.00,0,0,-,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
81,Q1,MMPO262700191,Close,June,,2/6/2026,SC2270000036,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Modules,FOR EPR,Banglore,South,15,136,"₹ 1,107.00","16,605.00","19,593.90","19,985.78",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
82,Q1,MMPO262700194,Close,June,,2/6/2026,SC2270000035,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,2,47.15,"₹ 5,690.00","11,380.00","13,428.40","13,696.97",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700194,Close,June,,2/6/2026,SC2270000035,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,1,23.7,"₹ 8,631.00","8,631.00","10,184.58","10,388.27",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700194,Close,June,,2/6/2026,SC2270000035,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,1,23.1,"₹ 8,186.00","8,186.00","9,659.48","9,852.67",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700194,Close,June,,2/6/2026,SC2270000035,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,1,14.95,"₹ 7,863.00","7,863.00","9,278.34","9,463.91",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700194,Close,June,,2/6/2026,SC2270000035,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Battery pack,FOR EPR,Banglore,South,19,508,"₹ 2,703.00","51,357.00","60,601.26","61,813.29",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
83,Q1,MMPO262700195,Close,June,,4/6/2026,RECAP/013,Re Cap System Energies,Fresh Purchase,Recycling,NMC Battery Packs,NOT FOR EPR,Delhi,North,598,598,₹ 290.00,"173,420.00","204,635.60","208,728.31",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700195,Close,June,,4/6/2026,RECAP/013,Re Cap System Energies,Fresh Purchase,Recycling,Polymer,NOT FOR EPR,Delhi,North,"5,137.00","5,137.00",₹ 978.00,"5,023,986.00","5,928,303.48","6,046,869.55",,,,,,,Organized,Industrial Battery,,,,,,,,,,,,
,Q1,MMPO262700195,Close,June,,4/6/2026,RECAP/013,Re Cap System Energies,Fresh Purchase,Recycling,Laptop Batteries,NOT FOR EPR,Delhi,North,"4,500.00","4,500.00","₹ 1,045.00","4,702,500.00","5,548,950.00","5,659,929.00",,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700195,Close,June,,4/6/2026,RECAP/013,Re Cap System Energies,Fresh Purchase,Recycling,LMO,NOT FOR EPR,Delhi,North,977,977,₹ 245.00,"239,365.00","282,450.70","288,099.71",,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,,,,,,,,,,,,
84,Q1,NO PO,Close,June,,2/6/2026,15,Buraq Enterprises,Fresh Purchase,Direct Sale,Nickel Strips,NOT FOR EPR,Banglore,South,62,62,₹ 552.00,"34,224.00","40,384.32",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
85,,MMPO262700189,Close,June,,4/6/2026,718857167,Bajaj auto ltd,Fresh Purchase,Second Life,NMC 21700,FOR EPR,Pune,North,"12,408.40","12,408.40","₹ 1,044.00","12,954,369.60","15,286,156.13",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
86,,MMPO262700207,Close,June,,9/6/2026,718857181,Bajaj auto ltd,Fresh Purchase,Second Life,NMC 18650,FOR EPR,Pune,North,"9,400.04","9,400.04","₹ 1,020.00","9,588,040.80","11,313,888.14",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
87,,MMPO262700221,Close,June,,15/6/2026,718857205,Bajaj auto ltd,Fresh Purchase,Second Life,NMC 18650,FOR EPR,Pune,North,"11,205.26","11,205.26","₹ 1,020.00","11,429,365.20","13,486,650.94",,,,,,,,,,,,,,,,,,,,,
88,Q1,MMPO262700200,Close,June,,5/6/2026,SC2270100097,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Modules,FOR EPR,Tamil Nadu,South,152,"1,307.00",₹ 907.00,"137,864.00","162,679.52","165,933.11",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700200,Close,June,,5/6/2026,SC2270100097,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Battery pack,FOR EPR,Tamil Nadu,South,16,384,"₹ 2,703.00","43,248.00","51,032.64","52,053.29",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
89,Q1,NO PO,Close,June,,3/6/2026,5841,C A ELECTRONICS,Fresh Purchase,Recycling,NMC,NOT FOR EPR,Banglore,South,71.85,71.85,₹ 150.00,"10,777.50","12,717.45",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
90,Q1,MMPO262700203,Close,June,,8/6/2026,LE-INV/26-27/4,Lekshana Enterprises,Fresh Purchase,Second Life,NMC,NOT FOR EPR,Andhra Pradesh,South,"1,500.00","1,500.00",₹ 320.00,"480,000.00","566,400.00",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
91,Q1,MMPO262700204,Close,June,,8/6/2026,RECAP/017,RE Cap System Energies,Fresh Purchase,Recycling,LCO,NOT FOR EPR,Delhi,North,561,561,₹ 975.00,"546,975.00","645,430.50",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700204,Close,June,,8/6/2026,RECAP/017,RE Cap System Energies,Fresh Purchase,Recycling,NMC,NOT FOR EPR,Delhi,North,64.95,64.95,₹ 400.00,"25,980.00","30,656.40",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700204,Close,June,,8/6/2026,RECAP/017,RE Cap System Energies,Fresh Purchase,Recycling,Laptop Batteries,NOT FOR EPR,Delhi,North,5.8,5.8,"₹ 1,030.00","5,974.00","7,049.32",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700204,Close,June,,8/6/2026,RECAP/017,RE Cap System Energies,Fresh Purchase,Recycling,LCO,NOT FOR EPR,Delhi,North,193.5,193.5,₹ 550.00,"106,425.00","125,581.50",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
92,Q1,MMPO262700208,Close,June,,10/6/2026,HK1000359853,Maruti Suzuki India Limited,Fresh Purchase,Recycling,NMC,FOR EPR,Harayana,North,160,160,₹ 175.00,"28,000.00","33,040.00",,,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,Registered Producer,,,,,,,,,,,
91,Q1,MMPO262700212,Close,June,,9/6/2026,360078700517,Exicom Tele-Systems Limited,Fresh Purchase,Second Life,NMC 18650,FOR EPR,Harayana,North,"166,102.00","7,972.90",₹ 72.00,"11,959,344.00","14,112,025.92",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
92,Q1,MMPO262700211-1,Close,June,,9/6/2026,420079601011,Exicom Energy Systems Private Limited,Fresh Purchase,Second Life,NMC 18650,FOR EPR,Harayana,North,"11,378.00",546.14,₹ 68.00,"773,704.00","912,970.72",,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
93,,MMPO262700216,Close,June,,11/6/2026,1/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,NOT FOR EPR,West Bengal,North,"5,400.00","5,400.00",₹ 770.00,"4,158,000.00","4,906,440.00",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,,MMPO262700216,Close,June,,11/6/2026,1/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,NOT FOR EPR,West Bengal,North,"3,650.00","3,650.00",₹ 975.00,"3,558,750.00","4,199,325.00",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
94,Q1,MMPO262700217,Close,June,,11/6/2026,2/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,NOT FOR EPR,New Delhi,North,"5,260.00","5,260.00",₹ 770.00,"4,050,200.00","4,779,236.00",,,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700216,Close,June,,11/6/2026,2/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,NOT FOR EPR,New Delhi,North,"3,840.00","3,840.00",₹ 975.00,"3,744,000.00","4,417,920.00",,,,,,,,Organized,Industrial Battery,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
95,Q1,MMPO262700227,Close,June,,16/6/2026,SC2270000038,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP,FOR EPR,Banglore,South,6,140,"₹ 3,038.00","18,228.00","21,509.04","21,939.22",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700228,Close,June,,16/6/2026,PI/26-27/030,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,2,2,"₹ 6,111.00","12,222.00","14,421.96","14,710.40",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700228,Close,June,,16/6/2026,PI/26-27/030,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,8,8,"₹ 8,631.00","69,048.00","81,476.64","83,106.17",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700228,Close,June,,16/6/2026,PI/26-27/030,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,11,11,"₹ 5,691.00","62,601.00","73,869.18","75,346.56",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
96,Q1,MMPO262700229,Close,June,,16/6/2026,SC2270100100,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,8,170.4,"₹ 8,631.00","69,048.00","81,476.64","83,106.17",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700229,Close,June,,16/6/2026,SC2270100100,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,2,38.3,"₹ 5,691.00","11,382.00","13,430.76","13,699.38",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700229,Close,June,,16/6/2026,SC2270100100,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP,FOR EPR,Banglore,South,7,175.6,"₹ 3,038.00","21,266.00","25,093.88","25,595.76",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700229,Close,June,,16/6/2026,SC2270100100,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,1,23,"₹ 8,186.00","8,186.00","9,659.48","9,852.67",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700229,Close,June,,16/6/2026,SC2270100100,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP,FOR EPR,Banglore,South,3,34.6,"₹ 1,107.00","3,321.00","3,918.78","3,997.16",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700229,Close,June,,16/6/2026,SC2270100100,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP,FOR EPR,Banglore,South,8,72.1,₹ 907.00,"7,256.00","8,562.08","8,733.32",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700229,Close,June,,16/6/2026,SC2270100100,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP,FOR EPR,Banglore,South,1,16.4,"₹ 1,704.00","1,704.00","2,010.72","2,050.93",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
97,Q1,MMPO262700224,Close,June,,16/6/2026,G26-27-001,0hreems Greencell Tech Private Limited,Fresh Purchase,Second Life,NMC,NOT FOR EPR,Banglore,South,"12,000.00","11,980.00",₹ 294.00,"3,528,000.00","4,163,040.00","4,246,300.80",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Recycler,,,,,,,,,,,
98,Q1,MMPO262700241,Close,June,,17/6/2026,SC2270000040,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,7,117.6,"₹ 6,111.00","42,777.00","50,476.86","51,486.40",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700241,Close,June,,17/6/2026,SC2270000040,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,8,208.2,"₹ 8,631.00","69,048.00","81,476.64","83,106.17",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700241,Close,June,,17/6/2026,SC2270000040,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,2,38.1,"₹ 5,691.00","11,382.00","13,430.76","13,699.38",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700241,Close,June,,17/6/2026,SC2270000040,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP,FOR EPR,Banglore,South,19,475.4,"₹ 2,749.00","52,231.00","61,632.58","62,865.23",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700241,Close,June,,17/6/2026,SC2270000040,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,2,52.3,"₹ 3,890.00","7,780.00","9,180.40","9,364.01",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700241,Close,June,,17/6/2026,SC2270000040,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,10,222.3,"₹ 5,690.00","56,900.00","67,142.00","68,484.84",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700241,Close,June,,17/6/2026,SC2270000040,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Banglore,South,11,279.2,"₹ 8,186.00","90,046.00","106,254.28","108,379.37",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700241,Close,June,,17/6/2026,SC2270000040,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP,FOR EPR,Banglore,South,24,600.4,"₹ 2,703.00","64,872.00","76,548.96","78,079.94",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
99,Q1,MMPO262700242,Close,June,,17/6/2026,SC2270000041,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC 21700,FOR EPR,Banglore,South,205,15.99,₹ 33.00,"6,765.00","7,982.70","8,142.35",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700242,Close,June,,17/6/2026,SC2270000041,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Cells,FOR EPR,Banglore,South,5,26.2,"₹ 1,107.00","5,535.00","6,531.30","6,661.93",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700242,Close,June,,17/6/2026,SC2270000041,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Banglore,South,1,45.8,"₹ 3,038.00","3,038.00","3,584.84","3,656.54",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
100,Q1,MMPO262700239,Close,June,,18/6/2026,DB262700104,Sogo Synergy Pvt. Ltd.,Fresh Purchase,Recycling,LCO,NOT FOR EPR,Banglore,South,105.5,105.5,₹ 400.00,"42,200.00","49,796.00","50,791.92",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
,Q1,MMPO262700239,Close,June,,18/6/2026,DB262700104,Sogo Synergy Pvt. Ltd.,Fresh Purchase,Second Life,LFP Packs,NOT FOR EPR,Banglore,South,535.8,535.8,₹ 105.00,"56,259.00","66,385.62","67,713.33",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Recycler,,,,,,,,,,,
,Q1,MMPO262700239,Close,June,,18/6/2026,DB262700104,Sogo Synergy Pvt. Ltd.,Fresh Purchase,Recycling,Laptop Batteries,NOT FOR EPR,Banglore,South,385.7,385.7,₹ 400.00,"154,280.00","182,050.40","185,691.41",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
101,Q1,MMPO262700238,Close,June,,18/6/2026,3/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,NOT FOR EPR,New Delhi,North,"9,230.00","9,150.00",₹ 765.00,"7,060,950.00","8,331,921.00","8,498,559.42",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700238,Close,June,,18/6/2026,3/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,NOT FOR EPR,New Delhi,North,"8,630.00","8,630.00",₹ 970.00,"8,371,100.00","9,877,898.00","10,075,455.96",,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
102,Q1,MMPO262700210,Close,June,,22/6/2026,1400800171,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NG Coated Cu-foil-Double side 5Ah,NOT FOR EPR,Bengaluru,South,"4,760.00","4,760.00",₹ 238.16,"1,133,641.60","1,337,697.09","1,364,451.03",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700210,Close,June,,22/6/2026,1400800171,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,NOT FOR EPR,Bengaluru,South,570,570,₹ 393.20,"224,124.00","264,466.32","269,755.65",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
103,Q1,MMPO262700246,Close,June,,20/6/2026,RE/2026-27/001,RE Technologies,Fresh Purchase,Recycling,LCO,NOT FOR EPR,Telangana,South,63,63,₹ 750.00,"47,250.00","55,755.00",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700246,Close,June,,20/6/2026,RE/2026-27/001,RE Technologies,Fresh Purchase,Recycling,LCO,NOT FOR EPR,Telangana,South,380,380,₹ 600.00,"228,000.00","269,040.00",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700246,Close,June,,20/6/2026,RE/2026-27/001,RE Technologies,Fresh Purchase,Recycling,LiPo,NOT FOR EPR,Telangana,South,134,134,₹ 930.00,"124,620.00","147,051.60",,,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
104,Q1,MMPO262700248,Close,June,,22/6/2026,SC227010018,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Cells,FOR EPR,Bengaluru,South,772,216.16,₹ 20.00,"15,440.00","18,219.20","18,583.58",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700248,Close,June,,22/6/2026,SC227010018,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC 21700,FOR EPR,Bengaluru,South,"1,662.00",113,₹ 33.00,"54,846.00","64,718.28","66,012.65",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
105,Q1,MMPO262700249,Close,June,,23/6/2026,68,ULTRA HI-POWER PRODUCT INDUSTRIES,Fresh Purchase,Second Life,NMC,FOR EPR,Bengaluru,South,659.8,659.8,₹ 300.00,"197,940.00","233,569.20","238,240.58",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
106,Q1,MMPO262700251,Close,June,,23/6/2026,PI-10,RE CAP SYSTEM ENERGIES,Fresh Purchase,Recycling,Laptop Batteries,FOR EPR,UP,North,"2,000.00","2,000.00","₹ 1,040.00","2,080,000.00","2,454,400.00","2,503,488.00",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700251,Close,June,,23/6/2026,PI-10,RE CAP SYSTEM ENERGIES,Fresh Purchase,Recycling,NMC,FOR EPR,UP,North,"2,000.00","2,000.00",₹ 302.00,"604,000.00","712,720.00","726,974.40",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
107,Q1,MMPO262700252,Close,June,,20/6/2026,MSTI/26-27/0352,Maruti Suzuki Toyotsu India Private Limited,Fresh Purchase,Recycling,LFP,FOR EPR,UP,North,840,840,₹ 105.91,"88,964.40","104,977.99","107,077.55",,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,Registered Producer,,,,,,,,,,,
108,Q1,MMPO262700210,Close,June,,23/6/2026,1400800176,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NG Coated cu-foil double side 102Ah,NOT FOR EPR,Bengaluru,South,"1,140.00","1,140.00",₹ 213.60,"243,504.00","287,334.72","293,081.41",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,,MMPO262700230,Close,June,,23/6/2026,MSTI/26-27/0318,Maruti Suzuki Toyotsu India Private Limited,Fresh Purchase,Recycling,LFP,FOR EPR,New Delhi,North,"1,850.00","1,850.00",₹ 92.97,"171,994.50","202,953.51",,,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,Registered Producer,,,,,,,,,,,
